Tanggal,Harga Gabah Kering Giling (GKG) (Rp/Kg)
Jan-18,6098.88
Feb-18,6094.17
Mar-18,5554.68
Apr-18,5366.65
May-18,5373.33
Jun-18,5467.96
Jul-18,5312.54
Aug-18,5399.9
Sep-18,5500.53
Oct-18,5567.64
Nov-18,5753.72
Dec-18,5818
Jan-19,5902.62
Feb-19,5951.96
Mar-19,5654.01
Apr-19,5221.35
May-19,5298.2
Jun-19,5360.9
Jul-19,5384.75
Aug-19,5423.16
Sep-19,5521.89
Oct-19,5622.16
Nov-19,5728.03
Dec-19,5886.34
Jan-20,5910.57
Feb-20,5943.96
Mar-20,5887.58
Apr-20,5807.98
May-20,5707.16
Jun-20,5957.84
Jul-20,5600.77
Aug-20,5516.39
Sep-20,5519.43
Oct-20,5526.7
Nov-20,5440.28
Dec-20,5475.51
Jan-21,5431.82
Feb-21,5431.31
Mar-21,5330.78
Apr-21,4994.47
May-21,5047.66
Jun-21,5084.76
Jul-21,5001.51
Aug-21,5147.63
Sep-21,5164.2
Oct-21,5123.94
Nov-21,5172.36
Dec-21,5171.23
Jan-22,5501.65
Feb-22,5568.1
Mar-22,5473.69
Apr-22,5193.66
May-22,5253.75
Jun-22,5268.62
Jul-22,5322.78
Aug-22,5614.75
Sep-22,5916.1
Oct-22,6006.04
Nov-22,5899.81
Dec-22,6278.41
Jan-23,6615.29
Feb-23,6557.1
Mar-23,6178.33
Apr-23,6220.42
May-23,6264.45
Jun-23,6460.29
Jul-23,6505.73
Aug-23,6867.79
Sep-23,7498.08
Oct-23,7817.79
Nov-23,7706.19
Dec-23,7839.29
Jan-24,8207.4
Feb-24,8714.62
Mar-24,8230.79
Apr-24,7067.49
May-24,6796.58
Jun-24,6985.72
Jul-24,7291.43
Aug-24,7291.34
Sep-24,7219.97
Oct-24,7212.3
Nov-24,7107.41
Dec-24,7168.94
